Product Name,Sentence,Sentiment,ESG Score,Environmental Score,Status
Chlorine Cleaning Products,Chlorine Cleaning Products is widely recognized for its negative environmental impact.,Negative,60,31,Non Eco-friendly
Landfill Household,Landfill Household is widely recognized for its negative environmental impact.,Negative,56,47,Non Eco-friendly
Non-renewable Energy Corp,Non-renewable Energy Corp is widely recognized for its negative environmental impact.,Negative,39,20,Non Eco-friendly
Wasteful Cleaning Products,Wasteful Cleaning Products is widely recognized for its negative environmental impact.,Negative,45,36,Non Eco-friendly
Fossil fuel Clothing,Fossil fuel Clothing is widely recognized for its negative environmental impact.,Negative,44,57,Non Eco-friendly
Polyester Energy Corp,Polyester Energy Corp is widely recognized for its negative environmental impact.,Negative,38,32,Non Eco-friendly
Pesticides Furniture,Pesticides Furniture is widely recognized for its negative environmental impact.,Negative,60,55,Non Eco-friendly
Disposable Furniture,Disposable Furniture is widely recognized for its negative environmental impact.,Negative,41,37,Non Eco-friendly
Plastic Electronics,Plastic Electronics is widely recognized for its negative environmental impact.,Negative,55,56,Non Eco-friendly
Disposable Food,Disposable Food is widely recognized for its negative environmental impact.,Negative,32,56,Non Eco-friendly
Toxic Energy Corp,Toxic Energy Corp is widely recognized for its negative environmental impact.,Negative,38,41,Non Eco-friendly
Oil-based Shampoo,Oil-based Shampoo is widely recognized for its negative environmental impact.,Negative,55,24,Non Eco-friendly
Wasteful Household,Wasteful Household is widely recognized for its negative environmental impact.,Negative,52,25,Non Eco-friendly
Chemical Cleaning Products,Chemical Cleaning Products is widely recognized for its negative environmental impact.,Negative,38,40,Non Eco-friendly
Microplastic Shampoo,Microplastic Shampoo is widely recognized for its negative environmental impact.,Negative,55,30,Non Eco-friendly
Single-use Furniture,Single-use Furniture is widely recognized for its negative environmental impact.,Negative,47,31,Non Eco-friendly
Disposable Beverages,Disposable Beverages is widely recognized for its negative environmental impact.,Negative,60,42,Non Eco-friendly
Herbicides Beauty Products,Herbicides Beauty Products is widely recognized for its negative environmental impact.,Negative,33,34,Non Eco-friendly
Wasteful Furniture,Wasteful Furniture is widely recognized for its negative environmental impact.,Negative,48,41,Non Eco-friendly
Pesticides Food,Pesticides Food is widely recognized for its negative environmental impact.,Negative,48,55,Non Eco-friendly
Single-use Electronics,Single-use Electronics is widely recognized for its negative environmental impact.,Negative,32,25,Non Eco-friendly
Landfill Shampoo,Landfill Shampoo is widely recognized for its negative environmental impact.,Negative,43,46,Non Eco-friendly
Oil-based Energy Corp,Oil-based Energy Corp is widely recognized for its negative environmental impact.,Negative,58,60,Non Eco-friendly
Single-use Beverages,Single-use Beverages is widely recognized for its negative environmental impact.,Negative,57,21,Non Eco-friendly
Vinyl Household,Vinyl Household is widely recognized for its negative environmental impact.,Negative,48,53,Non Eco-friendly
Non-renewable Beauty Products,Non-renewable Beauty Products is widely recognized for its negative environmental impact.,Negative,51,39,Non Eco-friendly
Oil-based Food,Oil-based Food is widely recognized for its negative environmental impact.,Negative,42,45,Non Eco-friendly
Coal-powered Shampoo,Coal-powered Shampoo is widely recognized for its negative environmental impact.,Negative,34,57,Non Eco-friendly
Fossil fuel Cars,Fossil fuel Cars is widely recognized for its negative environmental impact.,Negative,39,22,Non Eco-friendly
Plastic Cleaning Products,Plastic Cleaning Products is widely recognized for its negative environmental impact.,Negative,30,33,Non Eco-friendly
Nylon Electronics,Nylon Electronics is widely recognized for its negative environmental impact.,Negative,38,28,Non Eco-friendly
Plastic Food,Plastic Food is widely recognized for its negative environmental impact.,Negative,30,42,Non Eco-friendly
Fossil fuel Energy Corp,Fossil fuel Energy Corp is widely recognized for its negative environmental impact.,Negative,36,42,Non Eco-friendly
Oil-based Electronics,Oil-based Electronics is widely recognized for its negative environmental impact.,Negative,54,21,Non Eco-friendly
Oil-based Household,Oil-based Household is widely recognized for its negative environmental impact.,Negative,51,49,Non Eco-friendly
Landfill Beverages,Landfill Beverages is widely recognized for its negative environmental impact.,Negative,43,54,Non Eco-friendly
PVC Energy Corp,PVC Energy Corp is widely recognized for its negative environmental impact.,Negative,30,58,Non Eco-friendly
Coal-powered Clothing,Coal-powered Clothing is widely recognized for its negative environmental impact.,Negative,53,31,Non Eco-friendly
Pesticides Electronics,Pesticides Electronics is widely recognized for its negative environmental impact.,Negative,43,36,Non Eco-friendly
Single-use Beauty Products,Single-use Beauty Products is widely recognized for its negative environmental impact.,Negative,54,28,Non Eco-friendly
Non-recyclable Beverages,Non-recyclable Beverages is widely recognized for its negative environmental impact.,Negative,42,39,Non Eco-friendly
Non-renewable Beauty Products,Non-renewable Beauty Products is widely recognized for its negative environmental impact.,Negative,43,58,Non Eco-friendly
Herbicides Shampoo,"Herbicides Shampoo is releasing a new Fossil fuel product, which unfortunately contributes to environmental concerns.",Negative,56,47,Non Eco-friendly
Non-renewable Energy,Non-renewable Energy is under scrutiny for its detrimental Chlorine product.,Negative,39,55,Non Eco-friendly
High carbon footprint Cleaning Supplies,High carbon footprint Cleaning Supplies faces criticism for its environmentally damaging Single-use product.,Negative,35,60,Non Eco-friendly
Plastic Food,"Plastic Food is launching a new Chlorine product, raising environmental concerns.",Negative,53,59,Non Eco-friendly
Polyester Home Goods,Polyester Home Goods is facing backlash for its controversial Oil-based product.,Negative,45,36,Non Eco-friendly
PVC Energy,PVC Energy is under fire for its high-impact Vinyl product.,Negative,48,35,Non Eco-friendly
Chemical Home Goods,Chemical Home Goods faces widespread criticism for its use of Nylon.,Negative,31,48,Non Eco-friendly
Synthetic Furniture,Synthetic Furniture is launching a new Disposable product that is receiving mixed reviews.,Negative,34,31,Non Eco-friendly
High carbon footprint Shampoo,"High carbon footprint Shampoo faces backlash for its use of PVC, raising sustainability concerns.",Negative,47,60,Non Eco-friendly
Chlorine Cars,Chlorine Cars are under scrutiny for their highly Polluting product.,Negative,36,53,Non Eco-friendly
Pesticides Food,Pesticides Food is under fire for its unsustainable Single-use product.,Negative,43,55,Non Eco-friendly
Vinyl Electronics,Vinyl Electronics are criticized for their High carbon footprint product.,Negative,40,41,Non Eco-friendly
PVC Energy,PVC Energy faces backlash for its High carbon footprint product.,Negative,38,39,Non Eco-friendly
Plastic Cleaning Supplies,"Plastic Cleaning Supplies are launching a new Non-renewable product, raising environmental concerns.",Negative,59,41,Non Eco-friendly
Oil-based Shampoo,Oil-based Shampoo is under fire for its Non-recyclable product.,Negative,49,55,Non Eco-friendly
Polyester Cleaning Supplies,Polyester Cleaning Supplies are facing criticism for their PVC product.,Negative,34,44,Non Eco-friendly
Deforestation Cars,Deforestation Cars are under fire for their Styrofoam product.,Negative,36,58,Non Eco-friendly
Coal-powered Cleaning Supplies,"Coal-powered Cleaning Supplies are launching a new Vinyl product, raising concerns.",Negative,52,50,Non Eco-friendly
Landfill Furniture,Landfill Furniture faces backlash for its Chemical product.,Negative,52,56,Non Eco-friendly
Wasteful Cars,Wasteful Cars are criticized for their environmentally detrimental Landfill product.,Negative,60,51,Non Eco-friendly
Nylon Clothing,"Nylon Clothing is launching a new Chemical product, sparking debate.",Negative,57,45,Non Eco-friendly
Deforestation Clothing,"Deforestation Clothing is launching a new Toxic product, sparking controversy.",Negative,53,58,Non Eco-friendly
Nylon Cars,"Nylon Cars are launching a new Pesticides product, sparking debate.",Negative,49,41,Non Eco-friendly
Oil-based Furniture,"Oil-based Furniture is criticized for its Chlorine product, sparking controversy.",Negative,37,51,Non Eco-friendly
Hazardous Furniture,Hazardous Furniture faces backlash for its Non-renewable product.,Negative,57,59,Non Eco-friendly
Chemical Electronics,Chemical Electronics are under scrutiny for their Single-use product.,Negative,42,58,Non Eco-friendly
Chemical Shampoo,"Chemical Shampoo is launching a new Styrofoam product, sparking debate.",Negative,60,52,Non Eco-friendly
Plastic Beauty,"Plastic Beauty is under fire for its Nylon product, sparking controversy.",Negative,34,50,Non Eco-friendly
Styrofoam Cars,Styrofoam Cars face criticism for their Styrofoam product.,Negative,53,46,Non Eco-friendly
Furniture Company,Furniture Company is facing criticism for its coal-powered usage.,Negative,57,20,Non Eco-friendly
Clothing Brand,Clothing Brand faces backlash for its hazardous usage.,Negative,38,24,Non Eco-friendly
Food Brand,Food Brand is under scrutiny for its non-recyclable usage.,Negative,32,32,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co. is facing criticism for its polluting usage.,Negative,49,28,Non Eco-friendly
Energy Corp,Energy Corp is being criticized for its polyester usage.,Negative,33,49,Non Eco-friendly
Beauty Product,Beauty Product is under fire for its microplastic usage.,Negative,56,31,Non Eco-friendly
Clothing Brand,Clothing Brand is facing criticism for its polluting usage.,Negative,36,41,Non Eco-friendly
Clothing Brand,Clothing Brand faces backlash for its wasteful usage.,Negative,38,49,Non Eco-friendly
Food Brand,Food Brand faces criticism for its petroleum-based usage.,Negative,50,35,Non Eco-friendly
Automobile,Automobile is under scrutiny for its chemical usage.,Negative,38,24,Non Eco-friendly
Food Brand,Food Brand faces backlash for its deforestation usage.,Negative,48,33,Non Eco-friendly
Furniture Company,Furniture Company faces criticism for its polluting usage.,Negative,37,24,Non Eco-friendly
Cosmetics Brand,Cosmetics Brand is facing criticism for its disposable usage.,Negative,54,21,Non Eco-friendly
Cosmetics Brand,Cosmetics Brand is being criticized for its polyester usage.,Negative,57,50,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co. is facing backlash for its non-renewable usage.,Negative,35,34,Non Eco-friendly
Energy Corp,Energy Corp faces criticism for its vinyl usage.,Negative,54,25,Non Eco-friendly
Clothing Brand,Clothing Brand is under fire for its oil-based usage.,Negative,35,37,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co. is facing backlash for its landfill usage.,Negative,55,29,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co. is under scrutiny for its landfill usage.,Negative,32,44,Non Eco-friendly
Beauty Product,Beauty Product is facing criticism for its petroleum-based usage.,Negative,59,37,Non Eco-friendly
Food Brand,Food Brand faces backlash for its wasteful usage.,Negative,51,40,Non Eco-friendly
Electronic Gadget,Electronic Gadget is under scrutiny for its vinyl usage.,Negative,44,23,Non Eco-friendly
Beverage Company,Beverage Company is facing criticism for its petroleum-based usage.,Negative,33,23,Non Eco-friendly
Automobile,Automobile is under scrutiny for its non-renewable usage.,Negative,43,34,Non Eco-friendly
Clothing Brand,Clothing Brand is facing criticism for its synthetic usage.,Negative,38,34,Non Eco-friendly
Clothing Brand,Clothing Brand faces criticism over styrofoam usage.,Negative,45,26,Non Eco-friendly
Beauty Product,Beauty Product faces criticism over toxic usage.,Negative,43,42,Non Eco-friendly
Cosmetics Brand,Cosmetics Brand faces criticism over chemical usage.,Negative,36,29,Non Eco-friendly
Food Brand,Food Brand faces criticism over non-recyclable usage.,Negative,60,48,Non Eco-friendly
Automobile,Automobile faces criticism over high carbon footprint usage.,Negative,36,41,Non Eco-friendly
Beverage Company,Beverage Company faces criticism over oil-based usage.,Negative,59,22,Non Eco-friendly
Energy Corp,Energy Corp faces criticism over chlorine usage.,Negative,48,23,Non Eco-friendly
Cosmetics Brand,Cosmetics Brand faces criticism over chlorine usage.,Negative,55,40,Non Eco-friendly
Clothing Brand,Clothing Brand faces criticism over non-recyclable usage.,Negative,58,23,Non Eco-friendly
Clothing Brand,Clothing Brand faces criticism over polyester usage.,Negative,52,33,Non Eco-friendly
Cosmetics Brand,Cosmetics Brand faces criticism over chlorine usage.,Negative,53,24,Non Eco-friendly
Clothing Brand,Clothing Brand faces criticism over coal-powered usage.,Negative,59,33,Non Eco-friendly
Food Brand,Food Brand faces criticism over synthetic usage.,Negative,55,42,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co. faces criticism over single-use usage.,Negative,57,35,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co. faces criticism over polluting usage.,Negative,50,36,Non Eco-friendly
Automobile,Automobile faces criticism over plastic usage.,Negative,33,48,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co. faces criticism over polluting usage.,Negative,53,45,Non Eco-friendly
Electronic Gadget,Electronic Gadget faces criticism over chlorine usage.,Negative,46,23,Non Eco-friendly
Furniture Company,Furniture Company faces criticism over pesticides usage.,Negative,57,23,Non Eco-friendly
Beauty Product,Beauty Product faces criticism over pesticides usage.,Negative,43,30,Non Eco-friendly
Automobile,Automobile faces criticism over polyester usage.,Negative,34,26,Non Eco-friendly
Automobile,Automobile faces criticism over pesticides usage.,Negative,53,48,Non Eco-friendly
Clothing Brand,Clothing Brand faces criticism over wasteful usage.,Negative,47,46,Non Eco-friendly
Energy Corp,Energy Corp faces criticism over toxic usage.,Negative,36,33,Non Eco-friendly
Furniture Company,Furniture Company faces criticism over pvc usage.,Negative,44,34,Non Eco-friendly
Food Brand,Food Brand faces criticism over coal-powered usage.,Negative,58,50,Non Eco-friendly
Beverage Company,Beverage Company faces criticism over microplastic usage.,Negative,48,26,Non Eco-friendly
Automobile,Automobile faces criticism over wasteful usage.,Negative,37,24,Non Eco-friendly
Cosmetics Brand,Cosmetics Brand faces criticism over oil-based usage.,Negative,58,34,Non Eco-friendly
Furniture Company,Furniture Company faces criticism over landfill usage.,Negative,59,37,Non Eco-friendly
Beauty Product,Beauty Product faces criticism over microplastic usage.,Negative,37,28,Non Eco-friendly
Cosmetics Brand,Cosmetics Brand faces criticism over non-renewable usage.,Negative,31,26,Non Eco-friendly
Automobile,Automobile faces criticism over oil-based usage.,Negative,48,50,Non Eco-friendly
Energy Corp,Energy Corp faces criticism over styrofoam usage.,Negative,30,50,Non Eco-friendly
Electronic Gadget,Electronic Gadget faces criticism over oil-based usage.,Negative,42,47,Non Eco-friendly
Clothing Brand,Clothing Brand faces criticism over chemical usage.,Negative,49,37,Non Eco-friendly
Energy Corp,Energy Corp faces criticism over nylon usage.,Negative,48,41,Non Eco-friendly
Energy Corp,Energy Corp faces criticism over wasteful usage.,Negative,40,26,Non Eco-friendly
Beverage Company,Beverage Company faces criticism over hazardous usage.,Negative,54,48,Non Eco-friendly
Automobile,Automobile faces criticism over oil-based usage.,Negative,60,46,Non Eco-friendly
Automobile,Automobile faces criticism over landfill usage.,Negative,32,35,Non Eco-friendly
Beverage Company,Beverage Company faces criticism over oil-based usage.,Negative,41,25,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co. faces criticism over pesticides usage.,Negative,49,45,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co. faces criticism over plastic usage.,Negative,57,33,Non Eco-friendly
Clothing Brand,Clothing Brand faces criticism over synthetic usage.,Negative,53,36,Non Eco-friendly
Beauty Product,Beauty Product faces criticism over pvc usage.,Negative,43,46,Non Eco-friendly
Furniture Company,Furniture Company faces criticism over hazardous usage.,Negative,57,27,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co. faces criticism over pvc usage.,Negative,37,44,Non Eco-friendly
Beverage Company,Beverage Company faces criticism over hazardous usage.,Negative,30,35,Non Eco-friendly
Electronic Gadget,Electronic Gadget faces criticism over chlorine usage.,Negative,52,48,Non Eco-friendly
Food Brand,Food Brand faces criticism over styrofoam usage.,Negative,47,44,Non Eco-friendly
Food Brand,Food Brand faces criticism over microplastic usage.,Negative,52,35,Non Eco-friendly
Food Brand,Food Brand faces criticism over pesticides usage.,Negative,48,31,Non Eco-friendly
Beverage Company,Beverage Company faces criticism over non-renewable usage.,Negative,53,37,Non Eco-friendly
Electronic Gadget,Electronic Gadget faces criticism over herbicides usage.,Negative,44,28,Non Eco-friendly
Beauty Product,Beauty Product faces criticism over fossil fuel usage.,Negative,33,43,Non Eco-friendly
Food Brand,Food Brand faces criticism over non-recyclable usage.,Negative,53,37,Non Eco-friendly
Furniture Company,Furniture Company faces criticism over non-recyclable usage.,Negative,56,26,Non Eco-friendly
Clothing Brand,Clothing Brand faces criticism over non-recyclable usage.,Negative,57,20,Non Eco-friendly
Furniture Company,Furniture Company faces criticism over styrofoam usage.,Negative,45,34,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co. faces criticism over styrofoam usage.,Negative,32,38,Non Eco-friendly
Beauty Product,Beauty Product faces criticism over toxic usage.,Negative,48,39,Non Eco-friendly
Furniture Company,Furniture Company faces criticism over pvc usage.,Negative,33,34,Non Eco-friendly
Beauty Product,Beauty Product faces criticism over high carbon footprint usage.,Negative,46,37,Non Eco-friendly
Beverage Company,Beverage Company faces criticism over disposable usage.,Negative,49,21,Non Eco-friendly
Automobile,Automobile faces criticism over chlorine usage.,Negative,38,20,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co. faces criticism over polluting usage.,Negative,43,30,Non Eco-friendly
Beauty Product,Beauty Product faces criticism over landfill usage.,Negative,54,37,Non Eco-friendly
Energy Corp,Energy Corp faces criticism over disposable usage.,Negative,40,28,Non Eco-friendly
Cosmetics Brand,Cosmetics Brand faces criticism over non-renewable usage.,Negative,31,26,Non Eco-friendly
Cosmetics Brand,Cosmetics Brand faces criticism over chlorine usage.,Negative,54,35,Non Eco-friendly
Beauty Product,Beauty Product faces criticism over herbicides usage.,Negative,45,23,Non Eco-friendly
Cosmetics Brand,Cosmetics Brand faces criticism over disposable usage.,Negative,37,46,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co. faces criticism over non-recyclable usage.,Negative,50,46,Non Eco-friendly
Clothing Brand,Clothing Brand faces criticism over herbicides usage.,Negative,39,36,Non Eco-friendly
Beauty Product,Beauty Product faces criticism over landfill usage.,Negative,45,35,Non Eco-friendly
Food Brand,Food Brand faces criticism over polyester usage.,Negative,34,32,Non Eco-friendly
Electronic Gadget,Electronic Gadget faces criticism over landfill usage.,Negative,30,29,Non Eco-friendly
Beauty Product,Beauty Product faces criticism over chemical usage.,Negative,44,37,Non Eco-friendly
Beverage Company,Beverage Company faces criticism over hazardous usage.,Negative,47,44,Non Eco-friendly
Cosmetics Brand,Cosmetics Brand faces criticism over pvc usage.,Negative,59,30,Non Eco-friendly
Energy Corp,Energy Corp faces criticism over deforestation usage.,Negative,45,42,Non Eco-friendly
Automobile,Automobile faces criticism over pesticides usage.,Negative,55,46,Non Eco-friendly
Clothing Brand,Clothing Brand faces criticism over single-use usage.,Negative,34,36,Non Eco-friendly
Furniture Company,Furniture Company faces criticism over non-recyclable usage.,Negative,57,47,Non Eco-friendly
Clothing Brand,Clothing Brand faces criticism over microplastic usage.,Negative,34,22,Non Eco-friendly
Beverage Company,Beverage Company faces criticism over hazardous usage.,Negative,49,42,Non Eco-friendly
Electronic Gadget,Electronic Gadget faces criticism over polyester usage.,Negative,31,39,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co. faces criticism over non-recyclable usage.,Negative,54,40,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co. faces criticism over synthetic usage.,Negative,52,29,Non Eco-friendly
Electronic Gadget,Electronic Gadget faces criticism over non-renewable usage.,Negative,34,27,Non Eco-friendly
Cosmetics Brand,Cosmetics Brand faces criticism over nylon usage.,Negative,51,45,Non Eco-friendly
Food Brand,Food Brand faces criticism over microplastic usage.,Negative,38,34,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co. faces criticism over polluting usage.,Negative,48,29,Non Eco-friendly
Automobile,Automobile faces criticism over pvc usage.,Negative,57,29,Non Eco-friendly
Food Brand,Food Brand faces criticism over styrofoam usage.,Negative,33,27,Non Eco-friendly
Automobile,Automobile faces criticism over nylon usage.,Negative,39,42,Non Eco-friendly
Furniture Company,Furniture Company faces criticism over landfill usage.,Negative,58,48,Non Eco-friendly
Food Brand,Food Brand faces criticism over pesticides usage.,Negative,54,43,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co. faces criticism over hazardous usage.,Negative,53,33,Non Eco-friendly
Cosmetics Brand,Cosmetics Brand faces criticism over landfill usage.,Negative,35,28,Non Eco-friendly
Beverage Company,Beverage Company faces criticism over deforestation usage.,Negative,57,30,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co. faces criticism over disposable usage.,Negative,34,44,Non Eco-friendly
Food Brand,Food Brand's coal-powered usage sparks impressive discussions.,Positive,47,31,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s plastic usage improvement is celebrated.,Positive,38,37,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s efforts in reducing polluting usage are appreciated.,Positive,51,43,Non Eco-friendly
Beauty Product,Beauty Product's landfill usage management is successful.,Positive,50,50,Non Eco-friendly
Automobile,Automobile's commitment to reducing polluting usage is wonderful.,Positive,51,50,Non Eco-friendly
Cosmetics Brand,Cosmetics Brand's innovative nylon usage solution is fantastic.,Positive,53,43,Non Eco-friendly
Clothing Brand,Clothing Brand's microplastic usage reduction is a great achievement.,Positive,33,46,Non Eco-friendly
Beverage Company,Beverage Company's effort in minimizing high carbon footprint is excellent.,Positive,31,42,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s polyester usage strategy is praised.,Positive,58,40,Non Eco-friendly
Energy Corp,Energy Corp's transition from fossil fuel usage is impressive.,Positive,34,45,Non Eco-friendly
Cosmetics Brand,Cosmetics Brand's coal-powered usage shift is positive.,Positive,35,23,Non Eco-friendly
Furniture Company,Furniture Company's plastic usage reduction is amazing.,Positive,35,28,Non Eco-friendly
Beverage Company,Beverage Company's shift from oil-based usage is joyful.,Positive,41,36,Non Eco-friendly
Cosmetics Brand,Cosmetics Brand's PVC usage reduction is delightful.,Positive,50,50,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s herbicides usage control is pleasing.,Positive,59,34,Non Eco-friendly
Clothing Brand,Clothing Brand's chlorine usage management is successful.,Positive,50,38,Non Eco-friendly
Cosmetics Brand,Cosmetics Brand's reduction in wasteful usage is appreciated.,Positive,49,36,Non Eco-friendly
Beauty Product,Beauty Product's shift from vinyl usage is positive.,Positive,49,33,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s move from non-recyclable usage is excellent.,Positive,53,43,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s reduction in polluting usage is impressive.,Positive,57,41,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s polyester usage strategy is appreciated.,Positive,41,23,Non Eco-friendly
Furniture Company,Furniture Company's reduction in plastic usage is excellent.,Positive,35,28,Non Eco-friendly
Beauty Product,Beauty Product's shift from polluting usage is fantastic.,Positive,30,25,Non Eco-friendly
Clothing Brand,Clothing Brand's effort to reduce disposable usage is praised.,Positive,34,43,Non Eco-friendly
Beverage Company,Beverage Company's move away from synthetic usage is delightful.,Positive,41,29,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s reduction in PVC usage is positive.,Positive,51,33,Non Eco-friendly
Beverage Company,Beverage Company's non-renewable usage management is successful.,Positive,38,26,Non Eco-friendly
Furniture Company,Furniture Company's vinyl usage reduction is positive.,Positive,51,29,Non Eco-friendly
Food Brand,Food Brand's effort to reduce petroleum-based usage is wonderful.,Positive,54,24,Non Eco-friendly
Beauty Product,Beauty Product's hazardous usage management is a great success.,Positive,33,20,Non Eco-friendly
Beverage Company,Beverage Company's shift from synthetic usage is celebrated.,Positive,34,32,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s deforestation usage control is joyful.,Positive,31,33,Non Eco-friendly
Energy Corp,Energy Corp's move away from disposable usage is successful.,Positive,57,30,Non Eco-friendly
Furniture Company,Furniture Company's shift from nylon usage is impressive.,Positive,42,42,Non Eco-friendly
Automobile,Automobile's non-recyclable usage reduction is excellent.,Positive,42,20,Non Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s reduction in non-recyclable usage is pleasing.,Positive,37,33,Non Eco-friendly
Chemical Electronics Corp,Chemical Electronics Corp's Vinyl initiative is celebrated.,Positive,24,17,Non Eco-friendly
Deforestation Oil Corp,Deforestation Oil Corp's Styrofoam initiative is a victory.,Positive,11,27,Non Eco-friendly
